feature,mean_abs_shap
num__clean_water,0.7653367153200409
num__diarrhea_history,0.7022034506693327
cat__protein_intake_low,0.49489767882540825
cat__sanitation_good,0.46790742542436126
cat__protein_intake_high,0.38916541534435517
num__birth_weight,0.385411091786794
cat__sanitation_poor,0.36337030133705733
cat__immunization_complete,0.32743563095403466
cat__family_income_high,0.2379610784213366
cat__family_income_very_low,0.22816252177012974
cat__mother_education_higher,0.2025379457991423
cat__healthcare_access_good,0.1738580799823618
cat__healthcare_access_poor,0.1692075029915725
cat__family_income_medium,0.16418100213878994
cat__mother_education_primary,0.15818794541569814
cat__family_income_low,0.15115643211895702
cat__mother_education_none,0.15110239891273433
num__birth_length,0.10122019294426929
cat__sanitation_fair,0.08936868421609491
cat__immunization_none,0.07850147213546338
cat__mother_education_secondary,0.05904569640061039
num__age_month,0.053035930226688295
cat__house_density_low,0.04674431776982115
num__mother_age,0.04219122792461979
cat__protein_intake_medium,0.03273983737186195
cat__house_density_high,0.03263011660107181
cat__immunization_partial,0.027563464009390116
num__exclusive_breastfeeding,0.026710464888480823
num__mother_working,0.026300537829435665
cat__vitamin_intake_high,0.020448961246477756
num__electricity,0.01866965555909589
num__father_working,0.018187598530402308
cat__healthcare_access_fair,0.016679773033623852
cat__father_education_higher,0.014827292661310136
cat__father_education_primary,0.014640322628771978
cat__father_education_secondary,0.011034401440495997
cat__gender_F,0.009107198798803203
cat__house_density_medium,0.008298645145343097
cat__vitamin_intake_medium,0.007671146890261188
cat__father_education_none,0.006771409796011964
cat__gender_M,0.006508176224668491
cat__vitamin_intake_low,0.006410351193734732
